name,url,price,price_type,rating,rating_count,vendor
Adesso Webcam CyberTrack H4,https://google.com/url?q=https://labouledor66.com/products/adesso-cybertrack-h4-webcam-1080p-cmos-2-1-mp-microphone-focus-manuel-usb%3Fvariant%3D46289257333003%26country%3DFR%26currency%3DEUR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOor8ybZknBoUMIKADzkyXGpNgf1Fanex_D7xconFKc1uvyACY3fu-HE&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwInQE&usg=AOvVaw1v1hpj1c1id1vO3ORPGUmV,35.0,€,4.0,110,LBD66
Microsoft LifeCam VX-2000 Webcam - 0.3Mégapixels - 30fps - USB 2.0,https://google.com/url?q=https://www.ordinateursarabais.com/produit/microsoft-lifecam-vx-2000-camera-webcam/&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIoQE&usg=AOvVaw2wZ1eyRmjJLcMdl12D7qS3,12.76,€,4.5,63,taxes chez Ordinateurs à Rabais
UGREEN 2K Webcam for PC Ultra HD 1080P Microphone with Privacy Cover Automatic Light Correction Ultra Wide Viewing Angle PC Video USB Webcam for grise,https://google.com/url?q=https://www.amazon.fr/UGREEN-Antibruit-Correction-Streaming-Vid%25C3%25A9oconf%25C3%25A9rence/dp/B0DGXFNVLD%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DAXZ3JQ1GVFPIF&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIpAE&usg=AOvVaw0mzBA6tO_VrnVZb8I1Ugqn,34.99,€,5.0,45,Amazon.fr - Seller
Elgato Webcam Facecam Mk.2,https://google.com/url?q=https://www.ldlc.com/fiche/PB00607592.html&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIqAE&usg=AOvVaw3OW3dEX8hecVWNBDxJcbYN,159.95,€,4.5,127,LDLC
Webcam Lenovo Select Full HD,https://google.com/url?q=https://www.lenovo.com/fr/fr/p/accessories-and-software/webcams-and-video/webcams-and-video_webcams/gxc1d05522%3Fcid%3Dfr:seo:41h72l%26srsltid%3DAfmBOop2VaHjF28uKX1B0GEQ_C6wd0kSmRoBHIfNOK190l1rReRa8p3dLM4&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIrAE&usg=AOvVaw2MSwM4Q97RhcJle8VYodsv,49.01,€,4.5,388,Lenovo
"Caméra Web 2 4K Tiny d'OBSBOT avec suivi par Intelligence artificielle, commande vocale et gestuelle, mise au point automatique, HDR et Diffusion en",https://google.com/url?q=https://www.amazon.fr/OBSBOT-Tiny-Microphones-R%25C3%25A9ducteurs-Conf%25C3%25A9rence/dp/B0C3B6ZR1V%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA1W8ZVER6ZTFQE&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIsAE&usg=AOvVaw0vP_-ZmLFtHxCqzt4B22X1,369.0,€,5.0,66,Amazon.fr - Seller
Logitech Webcam Brio 300 Full HD en Blanc Cassé,https://google.com/url?q=https://www.logitech.com/fr-fr/products/webcams/brio-300-webcam.960-001442.html&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIswE&usg=AOvVaw3ZR_3myIjXPw7gIrIDrHTq,79.99,€,4.5,688,Logitech
Razer Kiyo Pro Webcam,https://google.com/url?q=https://www.razer.com/fr-fr/streaming-cameras/Razer-Kiyo-Pro/RZ19-03640100-R3M1%3Fsrsltid%3DAfmBOop0NxQ5pHElFiFt55UOw6LWPFYpCjA4g1nBqSidAdgE66qXML7eBWA&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwItwE&usg=AOvVaw3XefdgFNM-5krhtEkPjkp-,135.99,€,4.5,768,Razer.com
"Obsbot Tiny 2 Lite Webcam 4K pour PC, caméra de Streaming PTZ avec suivi AI, Capteur 1/2"", contrôle gestuel, 60 fps, HDR, microphones, caméra Web pour",https://google.com/url?q=https://www.kentfaith.fr/GW41.0136_obsbot-tiny-2-lite-webcam-4k-pour-pc-cam%25C3%25A9ra-de-streaming-ptz-avec-suivi-ai-capteur-1-2%2522-contr%25C3%25B4l%3Fsrsltid%3DAfmBOopwUT9MkjF6DoSZA7iIAVnCphK8Xj4ngl9r-a_UkD1VmTmZmYVLWPQ&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIuwE&usg=AOvVaw20f2_T8BUhKt1S48WEKBfe,199.99,€,4.5,17,K&F Concept FR
Elgato Facecam Pro Webcam,https://google.com/url?q=https://www.materiel.net/produit/202211020070.html&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIvwE&usg=AOvVaw2pzgWWvHPoLoXJV2KMTK4t,349.95,€,4.5,101,Materiel.net
Logitech 4K Pro Webcam with HDR and RightLight 3 en Graphite,https://google.com/url?q=https://www.agpfrance.fr/28732-logitech-webcam-brio-stream-60-fps-960-001390-5715063065020.html%3Fsrsltid%3DAfmBOopQHfKSSP2eOydMFqCbHeBgIg9tkN7s2_PXSLBTUNZnHXg02fRBL6U&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIwwE&usg=AOvVaw0YhkK0fhH1ElHC-5uVBG6q,328.85,€,4.5,2362,AGP France Service
Logitech C920s Pro HD Webcam,https://google.com/url?q=https://www.boulanger.com/ref/1125733%3Fseo-free-listing%3D1&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIxwE&usg=AOvVaw0PvbRPVUM79vBK5dckeYo5,69.99,€,4.5,9745,Boulanger
Microsoft LifeCam HD-3000 for Business - Webcam,https://google.com/url?q=https://www.darty.com/nav/achat/ref/MC339889365.html%3Fofmp%3D1111817453%26dartycid%3Dsem_free-listing_MP-informatique_webcam&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIywE&usg=AOvVaw2QQaD176T7jazJwt21Dsxj,139.5,€,4.5,1890,Darty
Logitech Brio 100 - Webcam,https://google.com/url?q=https://www.senetic.fr/product/960-001617%3Fsrsltid%3DAfmBOor9XvW4cQmqvWXGMNaN8PwzoOUj2E8klf4aM4TpCIx4StOiRcEqOfA&opi=95576897&sa=U&ved=0ahUKEwj28aCo7qeNAxUITaQEHUu2MXgQsDwIzwE&usg=AOvVaw1dt6DaYDOFLpV8zDgMZOc4,38.94,€,4.5,2481,Senetic.fr
